infect,localConfirmadd,date,heal,importedCase,dead,localinfectionadd,deadRate,healRate,y,confirm,suspect,dateId
14,89,12.06,49,34,0,4,0.0,45.0,2021,109,2,2021-12-06
23,77,12.07,50,30,0,5,0.0,50.0,2021,100,1,2021-12-07
33,79,12.08,43,23,0,13,0.0,48.9,2021,88,0,2021-12-08
43,55,12.09,37,26,0,26,0.0,43.0,2021,86,0,2021-12-09
30,57,12.10,40,36,0,14,0.0,37.0,2021,108,0,2021-12-10
20,122,12.11,30,26,0,10,0.0,34.9,2021,86,1,2021-12-11
17,126,12.12,48,21,0,0,0.0,42.9,2021,112,0,2021-12-12
15,79,12.13,31,25,0,4,0.0,37.3,2021,83,0,2021-12-13
24,105,12.14,45,17,0,2,0.0,54.9,2021,82,0,2021-12-14
20,104,12.15,33,8,1,1,1.2,38.4,2021,86,0,2021-12-15
23,130,12.16,26,20,0,2,0.0,26.5,2021,98,3,2021-12-16
19,115,12.17,33,36,0,2,0.0,22.4,2021,147,3,2021-12-17
41,51,12.18,48,39,0,4,0.0,47.5,2021,101,2,2021-12-18
33,38,12.19,53,65,1,2,0.9,45.7,2021,116,1,2021-12-19
19,59,12.20,49,24,0,1,0.0,49.0,2021,100,0,2021-12-20
19,63,12.21,80,20,0,0,0.0,84.2,2021,95,2,2021-12-21
19,102,12.22,42,29,0,2,0.0,34.7,2021,121,0,2021-12-22
26,63,12.23,71,34,0,1,0.0,63.4,2021,112,6,2021-12-23
24,89,12.24,113,53,0,4,0.0,68.5,2021,165,6,2021-12-24
29,161,12.25,76,48,0,1,0.0,30.5,2021,249,0,2021-12-25
27,162,12.26,53,38,0,0,0.0,22.7,2021,233,4,2021-12-26
21,182,12.27,92,27,0,3,0.0,39.1,2021,235,0,2021-12-27
15,152,12.28,57,45,0,1,0.0,25.7,2021,222,2,2021-12-28
27,156,12.29,61,51,0,1,0.0,26.0,2021,235,2,2021-12-29
29,166,12.30,47,29,0,0,0.0,20.3,2021,232,1,2021-12-30
38,182,12.31,69,56,0,5,0.0,23.7,2021,291,1,2021-12-31
52,134,01.01,67,60,0,4,0.0,29.1,2022,230,1,2022-01-01
35,108,01.02,52,60,0,4,0.0,29.2,2022,178,0,2022-01-02
54,112,01.03,51,67,0,21,0.0,23.7,2022,215,3,2022-01-03
71,57,01.04,67,54,0,22,0.0,45.3,2022,148,0,2022-01-04
45,133,01.05,200,57,0,10,0.0,85.8,2022,233,2,2022-01-05
45,127,01.06,102,58,0,3,0.0,42.3,2022,241,6,2022-01-06
52,99,01.07,151,64,0,6,0.0,64.0,2022,236,1,2022-01-07
46,104,01.08,148,73,0,0,0.0,64.3,2022,230,2,2022-01-08
42,152,01.09,186,60,0,2,0.0,77.2,2022,241,3,2022-01-09
50,176,01.10,150,82,0,11,0.0,52.3,2022,287,0,2022-01-10
32,214,01.11,211,55,0,4,0.0,68.7,2022,307,1,2022-01-11
31,155,01.12,218,66,1,9,0.3,73.2,2022,298,9,2022-01-12
42,146,01.13,241,58,1,4,0.3,81.1,2022,297,9,2022-01-13
25,106,01.14,145,61,0,2,0.0,87.9,2022,165,6,2022-01-14
52,65,01.15,136,54,0,5,0.0,68.3,2022,199,9,2022-01-15
28,165,01.16,217,60,0,0,0.0,77.2,2022,281,4,2022-01-16
33,132,01.17,158,44,0,1,0.0,66.1,2022,239,3,2022-01-17
37,56,01.18,193,32,0,2,0.0,121.4,2022,159,5,2022-01-18
28,49,01.19,251,23,0,2,0.0,197.6,2022,127,3,2022-01-19
31,32,01.20,218,50,0,2,0.0,160.3,2022,136,1,2022-01-20
43,23,01.21,196,40,0,6,0.0,138.0,2022,142,0,2022-01-21
34,27,01.22,224,37,0,7,0.0,112.6,2022,199,3,2022-01-22
27,28,01.23,254,39,0,5,0.0,102.8,2022,247,1,2022-01-23
43,40,01.24,213,27,0,18,0.0,128.3,2022,166,0,2022-01-24
64,24,01.25,194,20,0,20,0.0,124.4,2022,156,0,2022-01-25
55,25,01.26,220,38,0,17,0.0,93.2,2022,236,0,2022-01-26
54,39,01.27,189,25,0,12,0.0,60.0,2022,315,3,2022-01-27
32,37,01.28,223,22,0,3,0.0,106.2,2022,210,0,2022-01-28
65,54,01.29,202,27,0,16,0.0,97.1,2022,208,1,2022-01-29
52,40,01.30,170,18,0,4,0.0,95.5,2022,178,3,2022-01-30
32,36,01.31,146,39,0,1,0.0,78.1,2022,187,0,2022-01-31
28,43,02.01,171,27,0,4,0.0,82.6,2022,207,0,2022-02-01
96,21,02.02,120,18,0,1,0.0,68.6,2022,175,0,2022-02-02
52,12,02.03,151,17,0,1,0.0,81.6,2022,185,4,2022-02-03
